«;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski;
78;БИОГРАФИЯ;HISTORIA;生平事迹;GESCHICHTE;;;;HISTORIA;
79;Уникальная черта;TRACO �NICO;独有个性;Einzigartige Eigenschaft;;;;Unikalny dodatek;
80;ЧЕРТЫ;TRACOS;个性;EIGENSCHAFTEN;;;;DODATKI;
81;ПРОЛОГ;PROLOGO;序章;PROLOG;;;;PROLOG;
82;ПРИКЛЮЧЕНИЕ;AVENTURA;冒险模式;ABENTEUER;;;;PRZYGODA;
83;Режим пермасмерти;Modo Morte Permanente;真实模式;Permadeath-Modus;;;;Tryb Permadeath;
84;Пройдите ~w~обучение~/~ и узнайте предысторию основной игры.;Complete o ~w~tutorial~/~ e conheca a historia por tras do jogo principal.;完成~w~教程~/~，了解游戏的背景故事。;Beende das ~w~Tutorial~/~ und lerne mehr über die Hintergrundgeschichte des Hauptspiels.;;;;Ukończ ~w~samouczek~/~ i naucz się historii, by rozpocząć pełną przygodę.;
85;~w~Стандартный режим игры~/~. Выберите наёмника и путешествуйте по миру, исследуя подземелья и выполняя контракты.;O ~w~modo de jogo padrao~/~. Escolha um mercenario e viage o mundo, explorando masmorras e cumprindo contratos.;~w~标准游戏模式~/~。选择一个雇佣兵，游历世界，探索各地的地城和洞穴，完成赏金任务。;Der ~w~Standardspielmodus~/~. Wähle einen Söldner und reise durch die Welt, erkunde Dungeons und erfülle Aufträge.;;;;~w~Standardowy tryb gry~/~. Wybierz najemnika i rusz na eksplorację świata oraz podziemi wypełniając kontrakty.;
86;В случае смерти вашего персонажа, вы сможете продолжить игру с момента сохранения.#Однако в режиме ~r~пермасмерти~/~ ваше сохранение будет навсегда удалено.;Se voce morrer durante a sua aventura, voce pode retomar o jogo de onde estava .#No entanto, no modo ~r~permadeath~/~ seu progresso ser� irreversivelmente apagado.;如果你在冒险途中死亡，可以接着保存的进度继续游戏。#不过，如果选择~r~真实~/~模式，你一旦死亡，游戏存档便永久删除。;Wenn du während deines Abenteuers stirbst, kannst du das Spiel von deinem Spielstand aus wieder aufnehmen, aber im ~r~Permadeath~/~ Modus werden deine Spielstände beim Tod unwiderruflich gelöscht.;;;;Jeżeli zginiesz w trakcie przygody, możesz ją kontynuować cofając się do ostatniego zapisu.#Jednak w ~r~trybie permadeath~/~ twój zapis gry zostanie usunięty, gdy postać zginie.;
87;Осбрук, неделю спустя...;Osbrook, uma semana mais tarde ...;奥斯布鲁克，一周之后……;Osbrook, eine Woche später...;;;;Osbrook, tydzień później...;
88;Ваше сохранение несовместимо с этой версией игры.##Откатитесь на предыдущую версию в настройках игры в Steam или же начните новую игру.;O seu jogo salvo e incompativel com a versao atual do jogo.##Reverta para a versao anterior atraves das opcoes de jogo do Steam ou inicie um novo jogo.;你的存档与游戏当前版本不符。##请通过Steam的游戏选项回滚至前一版本，或者开始新的游戏。;Der Speicherstand ist nicht mit der aktuellen Version des Spiels kompatibel.##Mache ein Rollback zur vorherigen Version des Spiels über die Steam-Spieloptionen, oder starte eines neuen Spiel.;;;;Twój zapis jest niekompatybilny z aktualną wersją gry.##Cofnij wersję gry w ustawieniach Stoneshard na Steam lub rozpocznij nową grę.;
89;Аппаратный курсор;Cursor Nativo;Native Cursor;Native Cursor;;;;Native Cursor;
;button_hover_end;button_hover_end;button_hover_end;button_hover_end;;;;button_hover_end;
;;;;;;;;;
;control_buttons;control_buttons;control_buttons;control_buttons;;;;control_buttons;
1;Вверх;Cima;上;Hoch;;;;W górę;
2;Вниз;Baixo;下;Runter;;;;W dół;
3;Влево;Esquerda;左;Links;;;;Lewo;
4;Вправо;Direita;右;Rechts;;;;Prawo;
5;Вправо и вверх;Canto Superior Direito;右上;Rechts Hoch;;;;Prawa Góa;
6;Влево и вверх;Canto Superior Esquerdo;左上;Links Hoch;;;;Lewa Góra;
7;Вправо и вниз;Direita para Baixo;右下;Rechts Runter;;;;Prawy Dół;
8;Влево и вниз;Esquerda para Baixo;左下;Links Runter;;;;Lewy Dół;
9;Пропуск хода;Pular Turno;跳过回合;Runde überspringen;;;;Pomiń Turę;
10;Режим взаимодействия;Modo de Interacao;互动模式;Interaktionsmodus;;;;Tryb Interakcji;
11;Вариант вооружения;Carregamento de Armas;武器组合;Bewaffnung;;;;Wyposażenie;
12;Режим атаки;Modo Ataque;攻击模式;Angriffsmodus;;;;Tryb Ataku;
13;Меню персонажа;Menu de Personagens;人物窗口;Charaktermenü;;;;Menu Postaci;
14;Инвентарь;Inventario;物品栏;Inventar;;;;Ekwipunek;
15;Меню способностей;Menu de Habildades;技能窗口;Fertigkeitenmenü;;;;Menu Umiejętności;
16;Меню режимов;Modo Menu;模式窗口;Modusmenü;;;;Menu Trybów;
17;Показать добычу;Mostrar Saque;显示战利品;Beute schwebt;;;;Informacje o łupie;
18;Взять всё;Pegar Tudo;全部拿走;Alles nehmen;;;;Weź wszystko;
19;Режим отдыха;Modo de Repouso;休息模式;Ruhemodus;;;;Tryb Odpoczynku;
20;Журнал;Diario;日志;Tagebuch;;;;Dziennik;
21;Карта;Mapa;地图;KARTE;;;;MAPA;
;control_buttons_end;control_buttons_end;control_buttons_end;control_buttons_end;;;;control_buttons_end;
;;;;;;;;;
;trade_category;trade_category;trade_category;trade_category;;;;trade_category;
1;Всё;Tudo;所有东西;Alles;;;;Wszystko;
2;Оружие;Armas;武器;Waffen;;;;Bronie;
3;Броня;Armaduras;护具;Rüstung;;;;Pancerze;
4;Украшения;Joias;首饰;Schmuck;;;;Amulety i Pierścienie;
5;Медицина;Remedios;药品;Medizin;;;;Medykamenty;
6;Съестное и напитки;Comidas e Bebidas;饮食;Essen & Getränke;;;;Napoje i Jedzenie;
7;Инструменты;Ferramentas;工具;Werkzeuge;;;;Narzędzia;
8;Зелья;Pocoes;药剂;Tränke;;;;Mikstury;
9;Свитки и книги;Pergaminhos e Livros;书卷;Spruchrollen & Bücher;;;;Zwoje i Księgi;
10;Материалы и реагенты;Reagentes e Materiais;材料;Reagenzien & Materialien;;;;Reagenty i Materiały;
11;Драгоценности;Objetos de Valor;贵重物品;Wertvolles;;;;Kosztowności;
12;Другое;Outros;其他;Sonstiges;;;;Inne;
;trade_category_end;trade_category_end;trade_category_end;trade_category_end;;;;trade_category_end;
;;;;;;;;;
;map;map;map;map;;;;map;
1;Осбрук;Osbrook;奥斯布鲁克;Osbrook;;;;Osbrook;
2;Манншир;Mannshire;曼郡;Mannshire;;;;Mannshire;
3;Бастион;Bastion;棱堡;Bastion;;;;Bastion;
4;Склеп;Cripta;墓穴;Gruft;;;;Krypta;
5;Катакомбы;Catacumbas;墓道;Katakomben;;;;Katakumby;
6;Лагерь;Acampamento;营地;Lager;;;;Obóz;
7;Хижина ведьмы;Cabana da bruxa;女巫小屋;Hexenhütte;;;;Chata Wiedźmy;
8;Винокурня;Vinicola;酒厂;Weingut;;;;Winiarnia;
9;Мельница;Moinho;磨坊;Mühle;;;;Młyn;
10;Поле;Campo;田野;Feld;;;;Pola;
11;Лес;Floresta;树林;Wald;;;;Lasy;
12;с дорогой;com uma estrada;（有路）;mit Strasse;;;;z drogą;
13;Аббатство Святого Откровения;Abadia da Santa Revelacao;圣示修院;Abtei der Heiligen Offenbarung;;;;Opactwo Świętego Objawienia;
14;Точка интереса;Ponto de Interesse;地点;Sehenswürdigkeit;;;;Interesujące Miejsca;
15;Опасность;Perigo;危险程度;Gefahr;;;;Niebezpieczeństwo;
16;Низкая;Baixo;低;Niedrig;;;;Niskie;
17;Средняя;Medio;中;Durchschnittlich;;;;Średnie;
18;Высокая;Alto;高;Hoch;;;;Wysokie;
19;Очень высокая;Muito alto;很高;Sehr Hoch;;;;Bardzo Wysokie;
;map_end;map_end;map_end;map_end;;;;map_end;
